run_id,RMSE,MAE,SupNorm,Bias,Corr,deming_slope,deming_intercept,beta_sum,beta_l1,beta_l2,beta_min,beta_max,beta_neg_frac,offline_data_id,benchmark_id,benchmark_point_source,target_set_size,benchmark_z_path,projected_bellman_test_risk,oracle_embedding_risk,benchmark_embedding_risk,risk_bellman_final,risk_obj_final,B_num_rows,B_num_cols,B_min_dim,B_numerical_rank,B_rank_fraction,B_rank_tolerance,B_stable_rank,B_effective_rank,B_entropy_rank,B_spectral_norm,B_frobenius_norm,B_nuclear_norm,B_condition_number,B_condition_number_tol,B_smallest_singular_value,B_rank_rel_1em2,B_rank_rel_1em3,B_rank_rel_1em4
0_b0,0.0834163440398662,0.0766615929891122,0.1350573524832725,-0.0765267612290335,0.7733992956263365,0.3297740416987109,0.0084916966161683,0.579221860033984,0.863951549402894,0.07101897279112372,-0.00211752346,0.0166149493,0.46,0,0,fixed_config,100,data/Z_true.pt,0.0094089787453413,0.4192466139793396,0.4192466139793396,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b1,0.1528617675441202,0.1414710806574476,0.2482739090919494,-0.1414710806574476,-0.9023699107343764,-0.2192327180712237,0.0115356941887955,-0.039420700207789997,0.40947246947735,0.028856488129097285,-0.00267545087,0.00698572025,0.6675,0,1,fixed_config,100,data/Z_true.pt,0.0131600378081202,0.5280964374542236,0.5280964374542236,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b2,0.1489327429717405,0.1384018682688474,0.2414818368852138,-0.1384018682688474,-0.578200117853182,-0.1676555740789834,0.0144443552532467,0.05430966065845999,0.49510318087974,0.03772521694736392,-0.00293363491,0.00986189023,0.66,0,2,fixed_config,100,data/Z_true.pt,0.0106338001787662,0.5094102025032043,0.5094102025032043,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b3,0.1414455612051063,0.1322840654203173,0.2230140529572963,-0.1322840654203173,-0.4432287869786213,-0.0984079259619081,0.0098558245460556,0.04970869198788,0.38233452274606006,0.029429810882300036,-0.00254676258,0.00822960772,0.5975,0,3,fixed_config,100,data/Z_true.pt,0.0087027624249458,0.4974243938922882,0.4974243938922882,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b4,0.0937076138903537,0.0876120174067909,0.1398157477378845,-0.0876120174067909,0.8557513597162345,0.3387474959510587,-0.0030334370081594,0.384093684599465,0.794549715909735,0.0668543580000619,-0.00284625939,0.0168816764,0.5775,0,4,support_safe_target_policy_draw,100,data/Z_true.pt,0.0023336969316005,0.429527997970581,0.429527997970581,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b5,0.075096236474606,0.0689381576690357,0.118886798620224,-0.0688603873352985,0.9073738005764526,0.4166881010548496,0.0055622004219857,0.57853999357352,0.8299807802683199,0.06480966746760312,-0.00217941939,0.0131242247,0.415,0,5,support_safe_target_policy_draw,100,data/Z_true.pt,0.0151133257895708,0.4055459499359131,0.4055459499359131,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b6,0.0643697561639117,0.0593568368535488,0.1035371422767639,-0.0593568368535488,0.8650909416880886,0.6175476617657041,-0.0115348995518651,0.49618752751014006,0.7361369456543401,0.0638588031457982,-0.00228494336,0.0171808321,0.4075,0,6,support_safe_target_policy_draw,100,data/Z_true.pt,0.0105748604983091,0.3987818360328674,0.3987818360328674,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b7,0.1150613593942063,0.1082301317061501,0.1801897743716836,-0.1082301317061501,0.5209520718437102,0.2335953274208556,-0.0087898219029122,0.15639968115573,0.48253849178388997,0.03823006062554909,-0.00317527214,0.010410781,0.495,0,7,support_safe_target_policy_draw,100,data/Z_true.pt,0.0099863726645708,0.455433189868927,0.455433189868927,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b8,0.0975026749904782,0.0897676663298625,0.1619126126170158,-0.0897676663298625,0.8038901315463602,0.2147438613887733,0.0111030184150781,0.38991040815909006,0.52571125246951,0.046328415863980364,-0.00145606964,0.0114332605,0.3625,0,8,support_safe_target_policy_draw,100,data/Z_true.pt,0.0051481425762176,0.4266597926616668,0.4266597926616668,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
0_b9,0.0920565885983563,0.0831791344855446,0.1809682473540306,-0.0831791344855446,0.6110400451136975,0.7380665177940469,-0.0495229434869035,0.2378278114452,0.9657362748074,0.07974864586760044,-0.00376206264,0.0235116091,0.64,0,9,support_safe_target_policy_draw,100,data/Z_true.pt,0.0188072845339775,0.4489380121231079,0.4489380121231079,0.0156059230268979,0.4028210341930389,1609,400,400,400,1.0,4.244440886580492e-05,13.163192749023438,380.3549474244202,5.941104888916016,0.2212862074375152,0.8028510212898254,15.09544563293457,11.5044531991636,11.5044531991636,0.0192348305135965,400,400,400
