run_id,offline_data_id,benchmark_id,projected_bellman_test_risk,RMSE,MAE,Bias
0_b0,0,0,0.0065521150827407,0.0470020908467456,0.0399658699940482,-0.0265480219690653
0_b1,0,1,0.0019219687674194,0.0174776565498218,0.0148576821049209,0.0039042853575665
0_b10,0,10,0.0071783931925892,0.0477479708124866,0.0412973753464757,-0.024531377168314
0_b11,0,11,0.0137054100632667,0.076376752902185,0.0670390761132875,-0.0604986639549315
0_b12,0,12,0.0043153930455446,0.0209534416994185,0.0178547553968382,-0.0061298088979674
0_b13,0,13,0.0100922398269176,0.0310859411683046,0.0263535295939072,-0.0070884370524436
0_b14,0,14,0.0084125744178891,0.0436372259299418,0.0373298781181074,-0.0242527250295825
0_b15,0,15,0.0072088609449565,0.0111043067507934,0.0095698347513098,0.0053630306629929
0_b16,0,16,0.00967438519001,0.0408803623077619,0.0355565815842419,-0.0164148173532157
0_b17,0,17,0.004535331390798,0.0159960193592201,0.0129103412420954,0.0084990561625454
0_b18,0,18,0.0058211963623762,0.0397120064281678,0.0349666877405252,-0.008701455470873
0_b19,0,19,0.010590192861855,0.0411641062038303,0.0351169195036345,-0.0120841805530653
0_b2,0,2,0.005221331026405,0.01592115624155,0.0133493058243766,0.0115001571271568
0_b20,0,20,0.003431873396039,0.0053169113352212,0.0044172006507869,0.0006340534018818
0_b21,0,21,0.0118845785036683,0.0432442664229767,0.0366544990579132,-0.0275188689830247
0_b22,0,22,0.0057636243291199,0.0211986373020765,0.0174669458647258,0.0035026245261542
0_b23,0,23,0.0056165442802011,0.0141386824217338,0.0119137135497294,0.008234077214729
0_b24,0,24,0.0080400081351399,0.0175743137689148,0.0147532137995585,-0.0045869869785383
0_b25,0,25,0.0097726164385676,0.015690087062291,0.013119015811244,0.0041404319705907
0_b26,0,26,0.0035476712509989,0.0798173670684403,0.0702700529608409,-0.0675945855665486
0_b27,0,27,0.008812173269689,0.0105794128337768,0.0088169283827301,0.0064782829221803
0_b28,0,28,0.0030264882370829,0.0212973161642561,0.0178301352262496,-0.012970889902208
0_b29,0,29,0.0048456629738211,0.0859109798038226,0.0775396444098441,-0.0756610729938256
0_b3,0,3,0.0057942662388086,0.0367762571946871,0.0313777412660419,-0.0156993850902654
0_b30,0,30,0.0097049195319414,0.0099588600345023,0.008395422125759,-0.0059384490843513
0_b31,0,31,0.0063800695352256,0.0779676857407964,0.0678590131488454,-0.0580843457423907
0_b32,0,32,0.0083757657557725,0.0785749324151752,0.0685993364302703,-0.0625969990890735
0_b33,0,33,0.004193564876914,0.0192609019355462,0.0164977793535217,-0.0029510936839506
0_b34,0,34,0.0054733706638216,0.0906179336775825,0.0801235257172811,-0.0770758707113418
0_b35,0,35,0.0013087269617244,0.0913844274167175,0.081021466382117,-0.0774721279798905
0_b36,0,36,0.0117493020370602,0.0377654950839517,0.0325719136209227,-0.0028773824009113
0_b37,0,37,0.0083436528220772,0.0239760173567431,0.0200505372602492,0.0063884427770972
0_b38,0,38,0.0131411356851458,0.0627790026623738,0.0543963897845242,-0.0499914001359138
0_b39,0,39,0.007858975790441,0.0143544618986767,0.0121509052830515,-0.0003141423495253
0_b4,0,4,0.0198699757456779,0.0771458323761421,0.0673466549034492,-0.0617096308049076
0_b40,0,40,0.009127371944487,0.0172450597314311,0.0143496667372528,0.0053218156099319
0_b41,0,41,0.0045237676240503,0.0281518539739528,0.0242428778548492,0.0024658187368186
0_b42,0,42,0.0137302540242671,0.0310256525003436,0.0266511635202914,-0.0248903150437399
0_b43,0,43,0.0043267458677291,0.069640805612616,0.0611225335943163,-0.0600363553120405
0_b44,0,44,0.0130503736436367,0.0127627321372281,0.0104514442238723,0.0099193272512638
0_b45,0,45,0.0082346694543957,0.0174096211729649,0.0142743650963529,0.0073977980297058
0_b46,0,46,0.0172931849956512,0.0293292826262051,0.0250559069705195,-0.0068239769781939
0_b47,0,47,0.0120792323723435,0.0435695861136873,0.0367152195808012,-0.0353274637844879
0_b48,0,48,0.0044048386625945,0.0234215642680169,0.0195686146337538,-0.0049409786053001
0_b49,0,49,0.005770793184638,0.0157326501938702,0.0123926522256806,0.010721081518568
0_b5,0,5,0.0092742815613746,0.0491804762285651,0.0427657154627377,-0.0412750364426756
0_b6,0,6,0.0081434939056634,0.0333380843460971,0.0285905132314655,-0.0127155252976808
0_b7,0,7,0.0105448169633746,0.0283568796214002,0.0240236478898441,0.0008919543452793
0_b8,0,8,0.007439486682415,0.0561427261423592,0.0477185913229914,-0.0405486507937166
0_b9,0,9,0.007603243459016,0.0291781375090593,0.0244944144005421,-0.0098284129158128
10_b0,10,0,0.0071357563138008,0.0471129091875985,0.0400647175854828,-0.0271941260488529
10_b1,10,1,0.004075186792761,0.0199088225781172,0.0169991432293318,0.0076751324790529
10_b10,10,10,0.0048328237608075,0.056700083132998,0.049134115922352,-0.0358503049948194
10_b11,10,11,0.0087151415646076,0.0818184999295696,0.072560870002926,-0.0691743396011588
10_b12,10,12,0.0050363023765385,0.0219323773486918,0.0187974250980187,-0.0041283908404875
10_b13,10,13,0.0099704442545771,0.0295603768541489,0.0250369647296611,-0.0061772127647418
10_b14,10,14,0.0077813770622015,0.0430808776126924,0.0368256063167064,-0.0223790921982436
10_b15,10,15,0.0064062234014272,0.011198474768172,0.0092976589361205,-0.0011653323099017
10_b16,10,16,0.0089956074953079,0.0364911958587606,0.0314368312872829,-0.0049930060163023
10_b17,10,17,0.0026163789443671,0.0106179298697728,0.0087070036842487,0.0043411077023483
10_b18,10,18,0.0041975658386945,0.0360663778720522,0.0310797980538336,-0.01575287585787
10_b19,10,19,0.0115969078615307,0.0399652558416694,0.0340632841046317,-0.014952211783675
10_b2,10,2,0.0041258274577558,0.0110920288205765,0.0090958611387759,0.0053487090580165
10_b20,10,20,0.0027543967589735,0.0053681485166966,0.0043820296844933,-0.0016261068789754
10_b21,10,21,0.0075303111225366,0.0505976797883139,0.0432077419364941,-0.040797078309406
10_b22,10,22,0.0069187902845442,0.0150185862726828,0.0124407476867781,-0.0030965771927731
10_b23,10,23,0.0041700806468725,0.0108408339080115,0.0089084321632981,0.0042582426685839
10_b24,10,24,0.0081268912181258,0.0175125127894686,0.0148267997917719,-0.0080152239953167
10_b25,10,25,0.0078521966934204,0.0148020381570338,0.0124958599644014,0.0019232285307953
10_b26,10,26,0.003398418193683,0.0791827869867267,0.0697610512544633,-0.0678222898003878
10_b27,10,27,0.0078738518059253,0.0116007298403273,0.0098424980556592,-0.0031559607107192
10_b28,10,28,0.0025905580259859,0.0198958572348509,0.0166496987041318,-0.0119854655052768
10_b29,10,29,0.0175641514360904,0.0704361740427617,0.0623223912166577,-0.0545314938316732
10_b3,10,3,0.0036958754062652,0.0362147728385503,0.0309104527207091,-0.0165555252949707
10_b30,10,30,0.0054104588925838,0.0221294390652931,0.0188413064158521,-0.0183419857476837
10_b31,10,31,0.0134346177801489,0.0686301037792835,0.0599793144071009,-0.0420619023346807
10_b32,10,32,0.0108630433678627,0.0719607915388198,0.0625493627400283,-0.0553022560044337
10_b33,10,33,0.0037247743457555,0.0210568862065449,0.0178837523469701,0.002293161493726
10_b34,10,34,0.0117817856371402,0.0799352432541501,0.069969646668469,-0.0639914500465965
10_b35,10,35,0.0012670783326029,0.0891647796399994,0.0790289070766266,-0.0765186839394118
10_b36,10,36,0.0063415970653295,0.0322783411398396,0.0277465583733283,-0.0066573287663049
10_b37,10,37,0.0049512209370732,0.0194898092391685,0.016620899355039,0.0015176941594108
10_b38,10,38,0.014995340257883,0.0635941598762517,0.0551941152365179,-0.0498815104534151
10_b39,10,39,0.0087472349405288,0.0130489523312176,0.0106686074461322,-0.0057803645904641
10_b4,10,4,0.0184611678123474,0.0766782984924151,0.0670753710443386,-0.0610401820886181
10_b40,10,40,0.0080132419243454,0.0176437551485779,0.0147024332283763,0.0063278501358581
10_b41,10,41,0.0045559639111161,0.0247365443509211,0.0208566139603499,-0.0074877180729527
10_b42,10,42,0.0060523338615894,0.0318296550120153,0.027979833164718,-0.0276409591990523
10_b43,10,43,0.0042859306558966,0.0657593535935122,0.0575428944526356,-0.0557050837462884
10_b44,10,44,0.0126700056716799,0.0128412635237939,0.0105129716172814,0.0096123335510492
10_b45,10,45,0.0073230238631367,0.0136269012612992,0.0112734407023526,0.0049690202833153
10_b46,10,46,0.0117826033383607,0.0289191703986628,0.0244470171211287,-0.0138434913940727
10_b47,10,47,0.0074993330053985,0.0470310822986396,0.0406892547558527,-0.0401210580568295
10_b48,10,48,0.0041065895929932,0.022218184499728,0.0185996931965928,-0.0038462190504651
10_b49,10,49,0.0058703906834125,0.0133674304688581,0.0105948236747644,0.0088241299963556
10_b5,10,5,0.0083033591508865,0.0496136782553824,0.0434252573596313,-0.0418368983687832
10_b6,10,6,0.008594081737101,0.0317247024505958,0.0272164070885628,-0.0098534434009343
10_b7,10,7,0.008130325935781,0.0267523210103584,0.0227553771150996,-0.0102279652742436
10_b8,10,8,0.0078311720862984,0.0491791212979697,0.0418142180723953,-0.0325747321455855
10_b9,10,9,0.0032587768509984,0.0381500305568347,0.0322880804480519,-0.0204076234332751
11_b0,11,0,0.0055819856934249,0.0469385479927889,0.0395025871591497,-0.0294234003093879
11_b1,11,1,0.0018763956613838,0.0157654234035504,0.0135672650719061,-0.0003248439729213
11_b10,11,10,0.005565358325839,0.0553621902443661,0.0481334025830437,-0.0305600767115538
11_b11,11,11,0.0057783145457506,0.080912210901887,0.0713048909821373,-0.06618642883157
11_b12,11,12,0.0037593911401927,0.02356375088255,0.019574559192406,-0.0126824867923278
11_b13,11,13,0.0086873099207878,0.029921250420534,0.0245608592667849,-0.0138787014904664
11_b14,11,14,0.0060725389048457,0.0498502758205565,0.0425483072680071,-0.0345153109115199
11_b15,11,15,0.0055767237208783,0.0130736411508306,0.0112187835923396,0.0057355274446308
11_b16,11,16,0.0142212696373462,0.0458515673239488,0.0394849338366475,-0.0085758160224941
11_b17,11,17,0.0022267187014222,0.0087315378798189,0.0073392750311177,0.0030804868985433
11_b18,11,18,0.0052807810716331,0.0435428611779976,0.0381630705471616,-0.0088342200720217
11_b19,11,19,0.011812062934041,0.0395050884303687,0.0336031402676599,-0.0109333497105399
11_b2,11,2,0.0050753308460116,0.0141762812464545,0.012138639857294,0.0088760968844871
11_b20,11,20,0.0037136380560696,0.0056700328471476,0.0044043417298235,-0.0026001671585254
11_b21,11,21,0.0090046850964427,0.0428609085229084,0.0357191009121015,-0.0281071077333763
11_b22,11,22,0.0078481342643499,0.0168384789893128,0.0139006044983398,-0.0010365987836848
11_b23,11,23,0.0054405471310019,0.0130446235400164,0.0112055834196507,0.0057141342945396
11_b24,11,24,0.0071275411173701,0.0178776372977847,0.0151469546672888,0.0036539908894337
11_b25,11,25,0.0076468810439109,0.0135198012471367,0.0115045840223319,-0.0034395122271962
11_b26,11,26,0.0060097705572843,0.0769305167623444,0.0675676303514046,-0.0643838807445718
11_b27,11,27,0.0075342785567045,0.0102711717633872,0.0086728017352288,0.0057908650307217
11_b28,11,28,0.0030586614739149,0.0201964035928975,0.0170697206322802,-0.0032313806208549
